Prompt,Respuesta
¿Cuál es el objetivo principal de la excelencia administrativa y financiera en la Universidad del Norte?,"El objetivo principal es asegurar la sostenibilidad institucional a largo plazo mediante una gestión eficiente del talento humano, de los recursos financieros, físicos y tecnológicos, y proporcionar servicios de calidad. Esto se logra a través de una adecuada planeación estratégica que apoya el cumplimiento de la misión y el logro de la visión institucional."
¿Cómo contribuye la gestión universitaria a la toma de decisiones en la Universidad del Norte?,"La gestión universitaria contribuye a la toma de decisiones informadas, valorando los riesgos para garantizar decisiones acertadas y oportunas. Esto asegura el correcto funcionamiento de la institución y el cumplimiento de los retos trazados en el plan estratégico, así como el desarrollo armónico de las funciones sustantivas: docencia, investigación y extensión."
¿Qué aspectos incluye el Sistema Integrado de Gestión de Calidad (SIGC) en la Universidad del Norte?,"El SIGC en la Universidad del Norte incluye la identificación y satisfacción de las necesidades y expectativas de los clientes internos y externos, la implementación de acciones de mejoramiento, la verificación del cumplimiento de los procesos, la disminución de riesgos, el ajuste al orden jurídico vigente, y el cumplimiento de la norma NTC-ISO 9001 y el decreto 1072 de 2015."
¿Cuál es el compromiso de la Universidad del Norte en cuanto a la calidad en sus funciones administrativas?,"La Universidad del Norte está comprometida con la búsqueda de la excelencia en su quehacer académico y en la gestión administrativa y de apoyo. Se enfoca en prestar apoyo a las actividades académicas de manera productiva, incrementar la ventaja competitiva, agregar valor a la gestión y diferenciar los servicios con una clara orientación hacia el cliente."
¿Qué objetivos estratégicos guía el Sistema Integrado de Gestión de Calidad en la Universidad del Norte?,"El SIGC guía la Universidad del Norte en la planificación y desarrollo sostenibles, la correcta asignación y uso eficiente de los recursos, la calidad y el mejoramiento continuo de los servicios y procesos, la protección y preservación de la seguridad y salud de la comunidad, y la modernización de la tecnología e infraestructura en integración con la estrategia académica."
¿Qué compromisos tiene el Sistema Integrado de Gestión de Calidad en cuanto a la excelencia en la gestión?,"El compromiso es mantener una visión de largo plazo mediante la planeación, evaluación, mejoramiento continuo y rendición de cuentas, para cumplir la misión institucional con transparencia y buenas prácticas de gobierno corporativo. Esto incluye identificar, evaluar y gestionar riesgos y oportunidades para mantener una posición competitiva."
¿Cómo se manifiesta el compromiso del SIGC con la excelencia en los servicios ofrecidos por la Universidad del Norte?,"Se manifiesta mediante la oferta de experiencias innovadoras, creativas, pertinentes y oportunas a través de una amplia gama de productos y servicios de excelencia, con el objetivo de satisfacer las necesidades y expectativas de los grupos de interés de la universidad."
¿Qué busca fortalecer el SIGC en relación con los procesos en la Universidad del Norte?,"El SIGC busca fortalecer el enfoque por procesos, mejorar la comunicación e interrelación efectiva entre áreas, promover el aprendizaje colaborativo, y buscar soluciones innovadoras y pertinentes para mejorar la eficiencia y productividad, logrando así mejores resultados."
¿Qué aspectos abarca el compromiso con la excelencia en tecnología e infraestructura del SIGC?,"Abarca la implementación ágil de servicios TIC innovadores, con altos estándares de calidad, confiabilidad, disponibilidad y seguridad para apoyar la academia, la investigación, la extensión y la administración. También incluye el desarrollo de un campus sostenible, moderno y seguro con una arquitectura incluyente en constante evolución."
¿Cómo promueve el SIGC la excelencia humana dentro de la Universidad del Norte?,"Promueve un ambiente de trabajo inclusivo, seguro y saludable, equilibrando lo laboral y familiar. Se enfoca en la ética, los valores, el liderazgo de equipo, el autocuidado, el sentido de pertenencia, la disciplina en la gestión y la formación continua para atraer, potenciar y retener el capital intelectual, aumentando el compromiso y la productividad."
